id,title,artist,style,store_url,published_on,youtube,key,org_key,comment,org_url,org_type
002D-01,The Scientist,Coldplay,Piano Solo,https://www.musicnotes.com/l/nRMMm,2021-07-15,https://youtu.be/pye0yBQRGr4,F major,F major,,https://youtu.be/RB-RcX5DS5A,Official music video
002C-01,Your Song,Elton John,Piano Solo,https://www.musicnotes.com/l/9zMMW,2021-07-14,https://youtu.be/_MvWZclnzZM,B-flat major,E-flat major,,https://youtu.be/FT3D1Cu6g10,Official audio
002B-02,Thinking Out Loud,Ed Sheeran,Easy Piano,https://www.musicnotes.com/l/3HhMX,2021-06-18,https://youtu.be/0EHQz_JTPw8,C major,D major,,https://youtu.be/lp-EO5I60KA,Official music video
002B-01,Thinking Out Loud,Ed Sheeran,Piano Solo,https://www.sheetmusicplus.com/title/22050836,2021-06-18,https://youtu.be/mc9hbxF38s4,D major,D major,,https://youtu.be/lp-EO5I60KA,Official music video
002B-00,Thinking Out Loud,Ed Sheeran,Lead Sheet,https://www.sheetmusicplus.com/title/22050835,2021-06-18,,D major,D major,,https://youtu.be/lp-EO5I60KA,Official music video
002A-03,Just The Way You Are,Bruno Mars,Piano Solo (Tender ver.),https://www.sheetmusicplus.com/title/22049401,2021-06-16,https://youtu.be/t1sfGjZFVno,F major,F major,,https://youtu.be/LjhCEhWiKXk,Official music video
002A-02,Just The Way You Are,Bruno Mars,Easy Piano,https://www.sheetmusicplus.com/title/22049400,2021-06-16,https://youtu.be/76JnKBXIsKE,C major,F major,,https://youtu.be/LjhCEhWiKXk,Official music video
002A-01,Just The Way You Are,Bruno Mars,Piano Solo,https://www.sheetmusicplus.com/title/22049399,2021-06-16,https://youtu.be/6w_P6fF9MoA,F major,F major,,https://youtu.be/LjhCEhWiKXk,Official music video
002A-00,Just The Way You Are,Bruno Mars,Lead Sheet,https://www.sheetmusicplus.com/title/22049398,2021-06-16,,F major,F major,,https://youtu.be/LjhCEhWiKXk,Official music video
0029-02,Perfect To Me,Anne Marie,Easy Piano,https://www.sheetmusicplus.com/title/22047566,2021-06-12,https://youtu.be/WAwxyZycB8w,G major,A-flat major,,https://youtu.be/2FtFwAaCjrM,Official music video
0029-01,Perfect To Me,Anne Marie,Piano Solo,https://www.sheetmusicplus.com/title/22047565,2021-06-12,https://youtu.be/W9kckYUsFAQ,A-flat major,A-flat major,,https://youtu.be/2FtFwAaCjrM,Official music video
0029-00,Perfect To Me,Anne Marie,Lead Sheet,https://www.sheetmusicplus.com/title/22047564,2021-06-12,,A-flat major,A-flat major,,https://youtu.be/2FtFwAaCjrM,Official music video
0028-02,The Boxer,Simon & Garfunkel,Easy Piano,https://www.musicnotes.com/l/dHhMJ,2021-06-11,https://youtu.be/UsFCQOqwQNk,C major,B major,,https://youtu.be/l3LFML_pxlY,Official audio
0028-01,The Boxer,Simon & Garfunkel,Piano Solo,https://www.sheetmusicplus.com/title/22047268,2021-06-11,https://youtu.be/dLM2pnCLfCw,E major,B major,,https://youtu.be/l3LFML_pxlY,Official audio
